stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
20,3,0.018542777870769866,0.027814166806154797,0.009271388935384931,0.046356944676924666,912.2598685139808,1024,24,16,50.011426366040055,16;32;64;128;256;512,50.011426366040055;21.538304104215594;12.055831277598143;3.6099877417154445;3.011786156686356;0.458122611705717,0.2,8,8105,0.9893798828125,-26.636285760378087,-9.813995406024333,16.822290354353754,95.90324403657162,29.96976376142863,51.82179307937622
20,4,0.027814166806154797,0.03708555574153973,0.009271388935384935,0.046356944676924666,949.7616421271283,1024,24,16,46.297337295614014,16;32;64;128;256;512,46.297337295614014;17.49937199740308;11.823116308073432;3.2684682842841437;2.961142469013188;0.46389551197166257,0.2,8,8092,0.98779296875,-9.813995406024333,0.6299127765560115,10.443908182580344,92.41751880525965,28.88047462664364,52.13846206665039
20,5,0.03708555574153973,0.046356944676924666,0.009271388935384935,0.046356944676924666,968.9198524180158,1024,24,16,45.410917119075904,16;32;64;128;256;512,45.410917119075904;16.786044407651048;10.928180651755724;3.3308162197528404;2.6967512848544852;0.44492083115155917,0.2,8,8076,0.98583984375,0.6299127765560115,7.518547031504568,6.888634254948556,90.35772512399178,28.23678910124743,51.82161784172058
22,1,0.0,0.01704973394876421,0.01704973394876421,0.11536693449090918,512.0000000088285,1024,24,16,55.47784269750938,16;32;64;128;256;512,55.47784269750938;23.340508854843485;14.786150072645189;4.17252084358418;4.117410944992344;0.575104508413416,0.2,8,8119,0.9910888671875,-106.87354264601527,-24.315557555888518,82.55798509012675,99.57716057075845,31.117862678362016,52.544028997421265
22,2,0.01704973394876421,0.040123120846946046,0.023073386898181836,0.11536693449090918,678.1515590959102,1024,24,16,54.591132125527,16;32;64;128;256;512,54.591132125527;19.085778533722134;12.5877197151835;3.335909304105368;3.1405038615876726;0.49048858374478815,0.2,8,8096,0.98828125,-24.315557555888518,4.452703126517008,28.768260682405526,94.13318638667654,29.41662074583642,51.79185199737549
22,3,0.040123120846946046,0.06319650774512789,0.023073386898181843,0.11536693449090918,854.3376210669632,1024,24,16,48.887930235705625,16;32;64;128;256;512,48.887930235705625;13.596132400299734;11.408210547137047;3.549286190924033;2.895667923673818;0.40655700676628426,0.2,8,8078,0.986083984375,4.452703126517008,15.113910631680483,10.661207505163475,92.60215977262249,28.938174928944527,52.16738700866699
22,4,0.06319650774512789,0.08626989464330972,0.023073386898181836,0.11536693449090918,930.420396388671,1024,24,16,37.193394654081416,16;32;64;128;256;512,37.193394654081416;16.15544196923245;11.514640537675728;3.5529987420643865;2.609099198589507;0.5295022011582828,0.2,8,8049,0.9825439453125,15.113910631680483,20.133241380928666,5.019330749248184,90.51388329378294,28.285588529307166,52.572118043899536
22,5,0.08626989464330972,0.10934328154149156,0.023073386898181836,0.11536693449090918,963.6458027292857,1024,24,16,38.825485094504515,16;32;64;128;256;512,38.825485094504515;18.755265973223842;11.411942885319244;3.273882431572599;2.777854532749185;0.4179420961156721,0.2,8,8027,0.9798583984375,20.133241380928666,23.348987170040346,3.215745789111679,89.963552934425,28.11361029200781,51.70936393737793
22,6,0.10934328154149156,0.11536693449090918,0.006023652949417618,0.11536693449090918,1020.2833362487304,1024,24,16,40.543688860416815,16;32;64;128;256;512,40.543688860416815;14.140255094628639;10.526679145094317;2.858077743939638;2.575378158146884;0.33479306842375894,0.2,8,8027,0.9798583984375,23.348987170040346,24.226783709804295,0.8777965397639491,87.90810710390768,27.471283469971148,51.837544202804565
24,1,0.0,0.014653605818889918,0.014653605818889918,0.08282730127261977,512.000000191284,1024,24,16,39.70291913460257,16;32;64;128;256;512,39.70291913460257;17.27561346934507;9.363731232463447;3.1817522099538764;1.952455434370961;0.4753573278346927,0.2,8,8119,0.9910888671875,-120.73802843895828,-24.568595213931985,96.1694332250263,100.96206205935154,31.550644393547355,51.44115996360779
24,2,0.014653605818889918,0.031219066073413872,0.016565460254523955,0.08282730127261977,757.067743211878,1024,24,16,49.607082777913085,16;32;64;128;256;512,49.607082777913085;16.863953761434;12.033444132799781;3.7782123190229453;2.503391143882464;0.4846094479934083,0.2,8,8106,0.989501953125,-24.568595213931985,2.0172715087246615,26.585866722656647,94.57886515549154,29.555895361091107,51.679888010025024
24,3,0.031219066073413872,0.047784526327937824,0.01656546025452395,0.08282730127261977,878.5813501839191,1024,24,16,42.03854714889958,16;32;64;128;256;512,42.03854714889958;19.08124327425389;12.574442563095594;3.8762235174462654;3.2303479744319117;0.310352180349088,0.2,8,8043,0.9818115234375,2.0172715087246615,14.41735669800255,12.400085189277888,92.09852250261089,28.780788282065902,51.788055181503296
24,4,0.047784526327937824,0.06434998658246177,0.016565460254523948,0.08282730127261977,936.4261874291717,1024,24,16,38.02808812799884,16;32;64;128;256;512,38.02808812799884;18.546839186024926;9.443048093804006;4.010047667886501;2.8165081691782254;0.49696695923564127,0.2,8,8026,0.979736328125,14.41735669800255,21.52325136163563,7.10589466363308,90.11349735483681,28.160467923386502,52.78341197967529
24,5,0.06434998658246177,0.08091544683698573,0.01656546025452396,0.08282730127261977,968.9850845465114,1024,24,16,44.682146694552685,16;32;64;128;256;512,44.682146694552685;16.413547121198473;11.054910375009266;1.5704804067379419;2.8290590716012542;0.4845330383433942,0.2,8,8007,0.9774169921875,21.52325136163563,24.97771786404337,3.4544665024077403,88.49050564874166,27.653283015231768,51.850887060165405
24,6,0.08091544683698573,0.08282730127261977,0.0019118544356340333,0.08282730127261977,1023.2405785434803,1024,24,16,45.248183408183564,16;32;64;128;256;512,45.248183408183564;17.030550830035;10.238022260282612;3.7682093622127493;3.425499215685337;0.3470426180757453,0.2,8,7998,0.976318359375,24.97771786404337,25.250528466021933,0.2728106019785628,89.04692618351781,27.827164432349313,52.06163501739502
26,1,0.0,0.012460654043403126,0.012460654043403126,0.06230327021701563,566.1715776108103,1024,24,16,42.08059465299384,16;32;64;128;256;512,42.08059465299384;15.493681332144664;11.08722357969962;3.4386661351948438;2.096585257414391;0.4345389386813087,0.2,8,8113,0.9903564453125,-125.53091101386963,-28.548551504027273,96.98235950984235,98.56254631047918,30.80079572202474,51.60306215286255
26,2,0.012460654043403126,0.024921308086806253,0.012460654043403126,0.06230327021701563,826.4257287389573,1024,24,16,41.744266075180796,16;32;64;128;256;512,41.744266075180796;22.347061380790162;11.349386001841385;4.018575107887648;3.344950769593694;0.27395080938310157,0.2,8,8121,0.9913330078125,-28.548551504027273,-5.767469630431151,22.781081873596122,96.2077727355073,30.06492897984603,51.720662117004395
26,3,0.024921308086806253,0.037381962130209376,0.012460654043403123,0.06230327021701563,898.5645835504563,1024,24,16,45.39158586389382,16;32;64;128;256;512,45.39158586389382;19.13481724353393;9.653906033333046;3.8991044945147335;3.1002703755937944;0.22311615989032252,0.2,8,8080,0.986328125,-5.767469630431151,7.124865097590373,12.892334728021524,92.86576237189482,29.02055074121713,51.6846878528595
26,4,0.037381962130209376,0.049842616173612506,0.01246065404340313,0.06230327021701563,944.9718097179916,1024,24,16,52.20261290629448,16;32;64;128;256;512,52.20261290629448;19.660461855872693;13.23482275139014;3.671571406498278;2.745167432611104;0.4235415264967394,0.2,8,8074,0.985595703125,7.124865097590373,15.136621812649537,8.011756715059164,91.56589415723475,28.614341924135857,52.0819878578186
26,5,0.049842616173612506,0.06230327021701563,0.012460654043403123,0.06230327021701563,970.976343189738,1024,24,16,45.21838752299171,16;32;64;128;256;512,45.21838752299171;15.514488967599135;10.918143463634523;3.4855943092525945;2.474476146477976;0.5293625113361874,0.2,8,8046,0.982177734375,15.136621812649537,19.46546890182799,4.328847089178453,89.94006390644272,28.106269970763346,51.918704986572266
28,1,0.0,0.01019924972796567,0.01019924972796567,0.050996248639828344,583.2172348573047,1024,24,16,44.89631864116834,16;32;64;128;256;512,44.89631864116834;22.588758633929686;11.8418904206461;4.109051918178015;2.9942907572255897;0.36583600369290803,0.2,8,8126,0.991943359375,-139.34817017707974,-34.55121869598952,104.79695148109022,99.67676510989038,31.148989096840744,52.38947296142578
28,2,0.01019924972796567,0.02039849945593134,0.01019924972796567,0.050996248639828344,830.9563747830606,1024,24,16,49.39720733238116,16;32;64;128;256;512,49.39720733238116;16.912416957356406;11.10351812326033;4.023426132864589;2.5621879166365193;0.3954010522382803,0.2,8,8081,0.9864501953125,-34.55121869598952,-6.739775659654697,27.811443036334822,98.86605256275135,30.895641425859797,52.55059504508972
28,3,0.02039849945593134,0.03059774918389701,0.010199249727965671,0.050996248639828344,913.9698472642597,1024,24,16,50.97612338910594,16;32;64;128;256;512,50.97612338910594;17.80667337340228;12.55995526432515;3.767781704807475;2.873976202595426;0.28080098807849285,0.2,8,8069,0.9849853515625,-6.739775659654697,6.344115491665434,13.083891151320131,94.27914770144778,29.46223365670243,52.96810293197632
28,4,0.03059774918389701,0.04079699891186268,0.010199249727965667,0.050996248639828344,949.2685055141663,1024,24,16,38.46863458540024,16;32;64;128;256;512,38.46863458540024;16.454937457409265;10.105551856250946;3.1468629072831766;2.6453335019898305;0.4320778052343688,0.2,8,8010,0.977783203125,6.344115491665434,14.124932115832053,7.780816624166619,93.76296828230035,29.30092758821886,51.87686800956726
28,5,0.04079699891186268,0.050996248639828344,0.010199249727965667,0.050996248639828344,970.2334996344861,1024,24,16,58.15113045975526,16;32;64;128;256;512,58.15113045975526;22.78599793900629;14.606240573150243;3.6156415006950358;3.5085348730888253;0.14857828801638884,0.2,8,7988,0.97509765625,14.124932115832053,20.516751103969,6.391818988136947,91.77906978843238,28.680959308885118,51.976057052612305
30,1,0.0,0.011553624280267094,0.011553624280267094,0.05776812140133547,519.4058926871804,1024,24,16,48.4587588744532,16;32;64;128;256;512,48.4587588744532;19.337411788502283;12.223806008127168;3.143209127229497;3.1689540206862854;0.4763319295905317,0.2,8,8140,0.99365234375,-159.94631736217707,-42.822565421360196,117.12375194081687,99.6877000502103,31.152406265690715,52.24464297294617
30,2,0.011553624280267094,0.02310724856053419,0.011553624280267094,0.05776812140133547,814.7628795409801,1024,24,16,45.88494719014156,16;32;64;128;256;512,45.88494719014156;18.6201583067947;11.669782954014842;3.433986200024054;2.9047341037149623;0.49777920812603516,0.2,8,8112,0.990234375,-42.822565421360196,-12.342470489071275,30.48009493228892,96.08282203102407,30.025881884695018,51.66566181182861
