stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end,t_slice_phi,t_plant_rollout,t_accumulate,t_window_grid,t_filter,t_xhat,t_replan,t_postlog
46,281.86248993873596,6,5,0.6127166,0.53085214,0.7736444306501715,0.45440741490005554,0.3947640334016176,0.36091639077557985,0.84652239858427,0.08147796365603607,0.09000953831755878,9.5367431640625e-7,3.790855407714844e-5,4.00543212890625e-5,2.86102294921875e-6,23.460671186447144,4.792213439941406e-5,258.40149211883545,8.106231689453125e-6
47,22.380001068115234,6,0,0.5905283,0.5734423,0.7751814375339284,0.45082501086947924,0.3937923167537779,0.3749996074782034,0.8511003990762263,0.08306214498320307,0.09049002307997119,9.5367431640625e-7,1.4066696166992188e-5,2.4080276489257812e-5,9.5367431640625e-7,22.379828929901123,4.8160552978515625e-5,0.0,1.1920928955078125e-6
48,335.7894010543823,6,6,0.5621325,0.54017407,0.776706222710783,0.44624070832562013,0.39227975769277507,0.36883535148881047,0.8429446053771741,0.08287055255918767,0.09047745923438738,0.0,2.9087066650390625e-5,4.506111145019531e-5,1.9073486328125e-6,23.26625108718872,4.982948303222656e-5,312.5228090286255,8.106231689453125e-6
49,24.19370698928833,6,0,0.54419357,0.47889555,0.7777461680843822,0.44383648486113153,0.39668728684666904,0.3687496778207307,0.8161995953603957,0.08267461137384902,0.09096351755660513,9.5367431640625e-7,1.9073486328125e-5,2.6941299438476562e-5,1.1920928955078125e-6,24.19351887702942,4.9114227294921875e-5,0.0,9.5367431640625e-7
50,284.04426288604736,6,5,0.513125,0.44746184,0.7784261879681913,0.4516680524950089,0.3934300254831587,0.3648265913426879,0.8052338826066794,0.08034506726073683,0.09318128111359275,9.5367431640625e-7,2.7894973754882812e-5,4.696846008300781e-5,2.1457672119140625e-6,23.062366008758545,7.104873657226562e-5,260.98142099380493,1.1920928955078125e-5
51,22.782155990600586,6,0,0.59917814,0.5722726,0.7788204253709637,0.4538478117987705,0.39482343643930345,0.3654543514039027,0.7899479057390433,0.082807212667704,0.09321508813872749,9.5367431640625e-7,3.504753112792969e-5,5.793571472167969e-5,2.1457672119140625e-6,22.781867027282715,7.104873657226562e-5,0.0,1.9073486328125e-6
52,282.93667101860046,6,5,0.5692435,0.54168695,0.7792919078830843,0.45473770801535973,0.39194822943053026,0.35718457237938067,0.8107722107088748,0.08224354868631831,0.09478287804306983,9.5367431640625e-7,4.38690185546875e-5,4.8160552978515625e-5,2.86102294921875e-6,23.79911708831787,4.9114227294921875e-5,259.1371500492096,1.0013580322265625e-5
53,19.481321096420288,5,0,0.6029892,0.5518563,0.7799098893424877,0.457254088597873,0.3905956701168717,0.36072269060202367,0.818722890460833,0.08206929229065578,0.09391589530572939,1.1920928955078125e-6,2.47955322265625e-5,3.504753112792969e-5,2.1457672119140625e-6,19.481117010116577,4.887580871582031e-5,0.0,1.9073486328125e-6
54,280.9109539985657,6,5,0.57218975,0.5200685,0.7805474399145272,0.4557399929433317,0.3939917843726377,0.35796382589911013,0.8199410337567418,0.08230417550441672,0.09482573656876303,9.5367431640625e-7,2.5987625122070312e-5,5.1975250244140625e-5,2.1457672119140625e-6,22.648696899414062,4.792213439941406e-5,258.26192593574524,8.106231689453125e-6
55,23.938281059265137,6,0,0.6506576,0.60419834,0.7810299562046142,0.4554509194887438,0.3985503670365849,0.3606156021111145,0.8003522864267901,0.08280479321213695,0.09504684106929134,0.0,1.4781951904296875e-5,3.314018249511719e-5,9.5367431640625e-7,23.93811011314392,4.696846008300781e-5,0.0,9.5367431640625e-7
