stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi,A_mean_so_far,B_end,F_end,A_end
29,15.2102370262146,5,0,0.71635723,0.07384963785908193,0.22514732310109417,0.2869377543955605,0.07713910609324715
30,29.21990203857422,5,6,0.6914587,0.07389158509242866,0.22869328349013027,0.27412457388945927,0.07227806216465364
31,15.503127098083496,5,0,2.2257054,0.07389808592681085,0.23944121709118463,0.2876952385416454,0.0770807000399143
32,21.682828903198242,5,5,2.2796414,0.07394438647439969,0.24872889441437976,0.29391737795767114,0.07635601782434141
33,13.980289936065674,5,0,1.3780094,0.0740317745464487,0.2553936771857921,0.2968256097166833,0.07929384580403429
34,24.893527030944824,5,5,1.4167929,0.0742315822553934,0.2623865453433334,0.2940716285822017,0.08272077661590037
35,15.095020055770874,5,0,0.6275422,0.07450988107437005,0.26375050254428456,0.28488101082408956,0.08445340650850523
36,25.850064039230347,5,5,0.5944822,0.07477647026556636,0.26447747873281363,0.2762591553693119,0.08342258181324683
37,16.420114994049072,5,0,0.7422746,0.07506478317719115,0.270108029683892,0.2660860232868332,0.08696901265409292
38,28.90903902053833,5,6,0.7095518,0.07549382412115593,0.2721898413992285,0.25247787089786217,0.09531048887439747
39,14.016112089157104,5,0,2.530586,0.07610140324133674,0.2867414885664252,0.2762422656693954,0.09821217960365972
40,27.03801703453064,5,5,2.619614,0.07666896440505645,0.2970087461233425,0.2959498647227228,0.0998057306347415
41,13.911885023117065,5,0,0.6111898,0.07727636919781597,0.29406974510040523,0.27767635272610897,0.10383496079139164
42,28.277318000793457,5,5,0.59168005,0.07795284062623804,0.29675836658644383,0.26720054722350306,0.10875253565420848
43,16.88174295425415,5,0,1.494677,0.07875007354870073,0.3041686179774104,0.2652553936929957,0.11366751937996178
44,30.57640790939331,5,6,1.5283571,0.07955519108828654,0.3079500038021928,0.272952738766392,0.11505501752964209
45,13.921684980392456,5,0,2.1781137,0.0803372269872984,0.3196196626383694,0.2845739951695913,0.11567307660828692
46,28.10411787033081,5,6,2.2657483,0.08115200413675767,0.3370211606822437,0.2942054698174315,0.11967256768250144
47,16.4946231842041,5,0,2.2152865,0.08196254738395713,0.3503086230475485,0.301218104711074,0.12165741311804462
48,27.097583770751953,5,6,2.3009644,0.08282887145315958,0.35847203240800973,0.30672779682386275,0.1271035090361622
49,11.854598045349121,5,0,1.344532,0.08377816173813664,0.36463465714220783,0.3054838006423203,0.13365069123814746
50,28.882210969924927,5,5,1.3915993,0.08477330695096474,0.3712518423398139,0.3062919748251205,0.138799119072192
51,13.939832925796509,5,0,1.5523268,0.08576985601398174,0.37405636710152845,0.3027436490982835,0.13544519090860813
52,21.940654039382935,5,5,1.6032577,0.08682510215576973,0.37854887982572205,0.3096664511478177,0.1464648467357984
53,15.399327039718628,5,0,0.6473269,0.08801192905315418,0.3794164684686411,0.2929918630653145,0.1512748953010657
54,28.465955018997192,5,5,0.63744944,0.08912291624640979,0.3819040499128573,0.28007412862377745,0.14993162396843804
55,13.65845799446106,5,0,1.5407389,0.09028605526438564,0.3845193725355319,0.28242225521260106,0.15530955314078737
