stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
168,2,0.009547645024706487,0.020871322949391764,0.011323677924685277,0.056618389623426385,99.31196490587,128,16,16,27.187624516480213,16;32;64;128,27.187624516480213;7.5281550173325344;6.528675892621704;1.2532889726265362,0.2,2,235,0.91796875,13.35828676649544,57.57941609050431,44.22112932400887,42.693440934242176,13.34170029195068,6.337351083755493
168,3,0.020871322949391764,0.03219500087407704,0.011323677924685277,0.056618389623426385,117.68653205485089,128,16,16,21.811271963342868,16;32;64;128,21.811271963342868;4.679609241650102;3.883641064517616;1.4035427654732557,0.2,2,238,0.9296875,57.57941609050431,66.38507199316518,8.805655902660874,40.11173897420407,12.534918429438772,6.335582971572876
168,4,0.03219500087407704,0.04351867879876232,0.011323677924685277,0.056618389623426385,122.82667209724377,128,16,16,24.292419710471755,16;32;64;128,24.292419710471755;9.974840822452945;3.8937073826609194;1.434382672740359,0.2,2,228,0.890625,66.38507199316518,70.69018707273062,4.305115079565439,47.40859791471132,14.815186848347288,6.335335969924927
168,5,0.04351867879876232,0.054842356723447595,0.011323677924685277,0.056618389623426385,124.07591168459975,128,16,16,19.791381392728695,16;32;64;128,19.791381392728695;5.74745305253724;4.5871849134034095;1.3783613818266556,0.2,2,233,0.91015625,70.69018707273062,75.31649482669309,4.626307753962465,40.12617841605402,12.53943075501688,6.323124170303345
168,6,0.054842356723447595,0.056618389623426385,0.0017760328999787897,0.056618389623426385,127.92582685027217,128,16,16,21.799832587527963,16;32;64;128,21.799832587527963;6.460081956585515;4.024774845472783;0.9160948591012097,0.2,2,233,0.91015625,75.31649482669309,74.16208451287821,-1.1544103138148785,45.5098734776813,14.221835461775406,6.326562166213989
170,1,0.0,0.010432137631866172,0.010432137631866172,0.05772662084207357,64.00000003775048,128,16,16,22.523192258665752,16;32;64;128,22.523192258665752;7.825307628033262;6.84818251155015;1.5957611576311908,0.2,2,237,0.92578125,-106.72847257740796,2.203432643767883,108.93190522117584,45.83711631307638,14.324098847836368,6.340720891952515
170,2,0.010432137631866172,0.021977461800280887,0.011545324168414715,0.05772662084207357,97.64029154998526,128,16,16,24.417594050678687,16;32;64;128,24.417594050678687;9.201731893211171;5.106026831157894;1.0996906593503013,0.2,2,231,0.90234375,2.203432643767883,43.802631834172644,41.59919919040476,40.25498836525722,12.579683864142881,6.326730012893677
170,3,0.021977461800280887,0.0335227859686956,0.011545324168414715,0.05772662084207357,115.96423560375177,128,16,16,28.263787530396698,16;32;64;128,28.263787530396698;9.54224827562469;4.9702480990724505;0.13055044174543418,0.2,2,220,0.859375,43.802631834172644,55.30272847507149,11.500096640898846,46.871726366089085,14.647414489402838,6.338752031326294
170,4,0.0335227859686956,0.04506811013711032,0.011545324168414715,0.05772662084207357,120.5652537196425,128,16,16,25.043312416090625,16;32;64;128,25.043312416090625;9.089458657182554;3.6218183120070115;0.7060037024015376,0.2,2,230,0.8984375,55.30272847507149,66.05038797564339,10.7476595005719,43.637020834229666,13.63656901069677,6.3356359004974365
170,5,0.04506811013711032,0.05661343430552503,0.011545324168414715,0.05772662084207357,124.50207245119758,128,16,16,28.028335759957937,16;32;64;128,28.028335759957937;8.294017585161576;4.482400090051725;0.8667780360497233,0.2,2,236,0.921875,66.05038797564339,69.31520107784308,3.264813102199696,43.59104787230451,13.622202460095158,6.3297278881073
