stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
38,45.37939810752869,5,6,0.22723651,0.16381961,0.8360504989624428,0.3754530040517724,0.3434513532312817,0.0826107286271218,0.9381058495791472,0.053421137088564885,0.06928155798433215
39,6.564795017242432,5,0,0.2013251,0.13021813,0.8389205434733236,0.3720584983815532,0.34508763872772424,0.08053890356003701,0.9451284100294742,0.05321695616531797,0.06990569213692249
40,39.138611793518066,5,5,0.19983876,0.12823455,0.8414550873396855,0.3669976334656501,0.345430432415217,0.0795711451931923,0.9310721622459855,0.054193010790095086,0.07020098231134271
41,8.104749202728271,6,0,0.18981892,0.17879836,0.8436349217802273,0.3624751934939482,0.35211921982187866,0.08354386843369553,0.9268667206547937,0.054151526163879464,0.068835379849211
42,45.094034910202026,5,6,0.18814568,0.17659543,0.8456666819140296,0.35928712637114224,0.3492997420777814,0.0810436998274576,0.9317869844233658,0.05395852218751469,0.06750843844109326
43,6.7775819301605225,5,0,0.22086138,0.16926278,0.8477490786094476,0.35107126875110245,0.34845891527408657,0.07977956334893836,0.9300085884690875,0.05283414179060258,0.06652273536119648
44,45.65544104576111,5,6,0.21890624,0.16652834,0.8496873801025938,0.35216609082990996,0.34312075526996605,0.07952374558591421,0.9331938135507731,0.05330223626762578,0.06599672396793001
45,6.9476540088653564,5,0,0.22191809,0.18482552,0.8515938380735117,0.35815575445268816,0.3397102381333588,0.08308486765784297,0.9374830238616779,0.054379940752917286,0.06579626393125543
46,39.39677715301514,5,5,0.2196616,0.18153109,0.8537227885300723,0.35294153424988867,0.3354039888672001,0.08564597245378994,0.944475783411802,0.05544270014530716,0.06664681249131253
47,7.283946990966797,5,0,0.25726768,0.20940822,0.8556535704240836,0.34807811517862447,0.33325813435182283,0.09350610267968991,0.950792479258515,0.05658202362132516,0.06677648438497547
48,45.923073053359985,5,6,0.2553506,0.20624252,0.8575903765879316,0.34248051742433094,0.3307342492633402,0.09225527582547811,0.9433735835424558,0.056312935341867376,0.06655230998147749
49,6.791682004928589,5,0,0.22481273,0.18454595,0.8590215628104363,0.33888744567262863,0.3341016602902585,0.09382201690116268,0.91609119200225,0.05600454580137231,0.06683752782420899
50,46.13996887207031,6,6,0.22312938,0.18214215,0.8600796668138021,0.3453046112836305,0.33022167965523885,0.09429318640107597,0.9053862787902738,0.05400621389997128,0.06867215744284083
51,6.910476922988892,5,0,0.22951265,0.1583076,0.8608351996614968,0.34576130166481245,0.3301632943316957,0.09163382063483176,0.8899333414241319,0.055784783142137195,0.0683110569846403
52,46.29027700424194,6,6,0.22756766,0.15624376,0.8616675040675928,0.3452081296915124,0.3261355982382755,0.08595616272278467,0.9116867886644381,0.05514312464993437,0.06933257465688025
53,6.638983964920044,5,0,0.25785515,0.16980493,0.8626262714742879,0.3462115493235043,0.323598661964459,0.08666665250310035,0.9189201894417509,0.054832684454668906,0.06829258853858473
54,44.599268198013306,5,6,0.25607583,0.16784571,0.8635730113138184,0.34359933832341616,0.325757536710362,0.08558550626684648,0.9191562217268905,0.05491857921769005,0.06883764851275159
55,6.706421852111816,5,0,0.24097781,0.18399774,0.8643252371606888,0.34145825279032876,0.328746419880471,0.08383253566236624,0.8975519197318054,0.055028547358541985,0.0686640394000613
56,44.78406095504761,5,6,0.23932087,0.18140785,0.8651520826399202,0.33711348224342447,0.32486787403536876,0.0867090574821955,0.9002206964940352,0.05352511203722504,0.06741963685648693
57,7.960556983947754,6,0,0.22426401,0.16908608,0.8659851660779824,0.3395332082434074,0.32263049717126435,0.0856370969841191,0.9120770282679089,0.05503856102284603,0.06666548258648966
58,38.54514503479004,5,5,0.22134916,0.16690964,0.8666938213902177,0.34080673833030395,0.31654437343215197,0.09122429315686083,0.8960929330392601,0.05513476378865977,0.06628743618435945
59,6.711535930633545,5,0,0.2000724,0.17149091,0.8670626106683583,0.33933446599910005,0.31153163439959897,0.08364161444872821,0.8807790313815977,0.05305508252081411,0.0651618419565337
60,45.76001000404358,6,6,0.1981651,0.1684295,0.8673622131561981,0.3327893587255727,0.30986082584948604,0.0807238477616747,0.8985046116731893,0.05242563536486948,0.06361861556673148
61,6.842857837677002,5,0,0.20236355,0.1889079,0.8680432020860007,0.32824625007463687,0.3066252026958857,0.08014549361803246,0.9172659679016839,0.05273177992752105,0.063269284648191
62,44.55720114707947,5,6,0.20033018,0.1861182,0.8687048531412758,0.32452908474710845,0.30696598465486447,0.07758580813428206,0.9041655649309782,0.05136175793643449,0.06394606964785583
63,7.957367897033691,6,0,0.20703359,0.17711194,0.8693209285025014,0.32183745540610925,0.30395536689764263,0.07488542388801514,0.9029152799441342,0.05120907872864542,0.06466472803011013
64,44.66451907157898,5,6,0.2047813,0.17388456,0.8699707462412075,0.3268953582940792,0.30302158436211135,0.07711906026458712,0.9235104315583181,0.05162916497911847,0.06365986661049586
65,6.569660902023315,5,0,0.17320643,0.16130123,0.8706632467526112,0.32329524811874405,0.30174049705512995,0.07876811515875896,0.9030090360230536,0.05106187419918995,0.0647669865853656
66,38.39029788970947,5,5,0.17232071,0.15850769,0.8711597798545434,0.3208485350778286,0.3012705247456778,0.07824258237011741,0.8916335209086939,0.05224161710793537,0.06424041205856994
67,6.787477970123291,5,0,0.21139742,0.1628609,0.8713600452654253,0.31631916022639067,0.30092353393199056,0.07963933210407569,0.8849542141310502,0.05169157060956146,0.0645754359900194
